krediMiktari;yas;evDurumu;aldigi_kredi_sayi;telefonDurumu;KrediDurumu
1169;67;evsahibi;2;var;krediver
5951;22;evsahibi;1;yok;verme
2096;49;evsahibi;1;yok;krediver
7882;45;kiraci;1;yok;krediver
4870;53;kiraci;2;yok;verme
9055;35;kiraci;1;var;krediver
2835;53;evsahibi;1;yok;krediver
6948;35;kiraci;1;var;krediver
3059;61;evsahibi;1;yok;krediver
5234;28;evsahibi;2;yok;verme
1295;25;kiraci;1;yok;verme
4308;24;kiraci;1;yok;verme
1567;22;evsahibi;1;var;krediver
1199;60;evsahibi;2;yok;verme
1403;28;kiraci;1;yok;krediver
1282;32;evsahibi;1;yok;verme
2424;53;evsahibi;2;yok;krediver
8072;25;evsahibi;3;yok;krediver
12579;44;kiraci;1;var;verme
3430;31;evsahibi;1;var;krediver
2134;48;evsahibi;3;var;krediver
2647;44;kiraci;1;yok;krediver
2241;48;kiraci;2;yok;krediver
1804;44;evsahibi;1;yok;krediver
2069;26;evsahibi;2;yok;krediver
1374;36;evsahibi;1;var;krediver
426;39;evsahibi;1;yok;krediver
409;42;kiraci;2;yok;krediver
2415;34;evsahibi;1;yok;krediver
6836;63;evsahibi;2;var;verme
1913;36;evsahibi;1;var;krediver
4020;27;evsahibi;1;yok;krediver
5866;30;evsahibi;2;var;krediver
1264;57;kiraci;1;yok;krediver
1474;33;evsahibi;1;var;krediver
4746;25;evsahibi;2;yok;verme
6110;31;kiraci;1;var;krediver
2100;37;evsahibi;1;yok;verme
1225;37;evsahibi;1;var;krediver
458;24;evsahibi;1;yok;krediver
2333;30;evsahibi;1;yok;krediver
1158;26;evsahibi;1;var;krediver
6204;44;evsahibi;1;var;krediver
6187;24;kiraci;2;yok;krediver
6143;58;kiraci;2;yok;verme
1393;35;evsahibi;2;yok;krediver
2299;39;evsahibi;1;yok;krediver
1352;23;kiraci;1;var;krediver
7228;39;evsahibi;2;yok;krediver
2073;28;evsahibi;1;yok;krediver
2333;29;evsahibi;1;yok;krediver
